
13.54444,46.63417,Windische Höhe L33 ele=1110m SG_2 18_p,E_sattel
13.54566,46.55364,Bartolosattel-Bartolo Selladi ele=1175m SG_3,E_sattel
13.57458,47.40405,Sattel ele=840m Mandlingpass SG_1-2,E_sattel
13.60809,47.77647,Weissenbacher Sattel-Stehrer Au ele=553m SG_2,E_sattel
13.61694,47.05583,Katschberghöhe B99 ele=1641m SG_2-3 16_p,E_sattel
13.62013,47.84456,Krahbergtaferl-Grossalmstrasse  ele=829m SG_2,E_sattel
13.66240,46.18001,Slowenische Grenzkammstrasse Sattel ele=925m SG_2-3,E_sattel
13.74345,46.43412,Werschetzpass-Moistrocca Passodella ele=1611m SG_2-3,E_sattel
13.75175,46.51886,Wurzenpass B109 ele=1073m SG_2-3 18_p,E_sattel
13.77605,46.98298,Schönfeldsattel ele=1740m SG_2-3,E_sattel
13.80675,46.67281,Krastaler Sattel ele=654m SG_2,E_sattel
13.83217,47.58347,Radlingpass ele=853m SG_2,E_sattel
13.85400,47.18634,Ludlalm-Prebersee ele=1530m SG_2-3,E_sattel
13.92886,47.14803,Schwarzenbichl ele=1243m SG_2,E_sattel
13.99862,46.86496,Hochrindl ele=1561m SG_2,E_sattel
14.01375,46.11038,Kladje Sattel ele=787m SG_2,E_sattel
14.02611,46.94833,Flattnitzer Höhe L63 ele=1390m SG_1-2 13_p,E_sattel
14.08056,47.27361,Sölkpass L704 ele=1788m SG_2-3 16_p,E_sattel
14.14501,47.02807,Grattinger Sattel ele=1170m SG_2,E_sattel
14.19049,47.20013,Pöllauer-Kammersberger Sattel ele=1092m SG_2,E_sattel
14.19826,46.78718,Wegscheide ele=1132m SG_2-3,E_sattel
14.22264,46.83877,Magdalenenberg ele=1016m SG_2,E_sattel
14.24108,47.49970,Vorberg ele=1134m SG_2-3,E_sattel
14.25368,47.06431,Talbacher Sattel ele=1110m SG_1,E_sattel
14.27244,46.93933,Prekova Sattel ele=1200m SG_2-3,E_sattel
14.27287,47.18725,Hinterburger Sattel ele=1110m SG_2,E_sattel
14.28502,46.85697,Pisweger Sattel ele=969m SG_2,E_sattel
14.29939,47.62000,Pyhrnpass B138 ele=945m SG_2 10_p,E_sattel
14.33012,46.82473,Eggen Sattel ele=1073m SG_2-3,E_sattel
14.35703,47.22854,Hochegger Sattel-Sagmeister ele=1340m SG_2,E_sattel
14.36464,46.44810,Pischenzasattel-PeÅ¡inca ele=1376m SG_3-4,E_sattel
14.40294,47.09131,Neumarkter Sattel L502 ele=894m 21_p,E_sattel
14.37020,46.87803,Gunzenberg Sattel ele=1021m SG_2-3,E_sattel
14.40161,46.47361,Uznik-Sattel ele=982m SG_2,E_sattel
14.45775,47.11017,Perchauer SattelB83 ele=995m SG_17_p,E_sattel
14.46103,47.70167,Hengstpass L550 ele=1010m SG_2 20_p,E_sattel
14.46729,46.47897,Schaidasattel ele=1069m SG_2-3,E_sattel
14.48833,47.43250,Triebener Tauern B114 ele=1265m SG_2 12_p,E_sattel
14.51781,47.61061,Buchauer Sattel B117 ele=850m SG_2 9_p,E_sattel
14.52649,46.49103,Petschniksattel-Hochobir-Panoramastrasse  ele=1145m SG_2-3,E_sattel
14.52864,46.41917,Seebergsattel B82 ele=1218m SG_2-3 10_p,E_sattel
15.27361,47.62528,Seebergsattel B20 ele=1254m SG_2-3 11_p,E_sattel
14.54076,46.48554,Kurniksattel-Hochobir-Panoramastrasse  ele=1007m SG_2-3,E_sattel
14.58495,46.42496,Paulitschsattel-Pavli?evoSedlo ele=1338m SG_2-3,E_sattel
14.66053,47.65681,Erbsattel ele=671m SG_2,E_sattel
14.67067,47.45231,Schoberpass B113 ele=849m SG_1 6_p,E_sattel
14.67528,46.93611,Klippitztörl ele=1644m SG_2 12_p,E_sattel
14.70996,46.50804,Luschasattel ele=1295m SG_2-3,E_sattel
14.71915,46.49987,Luschaalm ele=1285m SG_3-4,E_sattel
14.71944,47.04333,Obdacher Sattel B78 ele=955m SG_1 6_p,E_sattel
14.72434,47.84202,Pichlhöhe-Saurüssel ele=552m SG_2,E_sattel
14.74019,46.43827,Slemepri Podol?eva ele=1254m Spodnje SG_3,E_sattel
14.75436,46.73150,Griffner Berg B70 ele=705m SG_2 10_p,E_sattel
14.77520,47.66228,Radstatthöhe ele=637m SG_1-2,E_sattel
14.86615,47.87512,Kleine Kripp ele=623m SG_1-2,E_sattel
14.86843,46.61541,Kömmelsattel ele=1060m SG_2-3,E_sattel
14.87202,47.86359,Grosse Kripp-Auf der Kripp ele=694m SG_2,E_sattel
14.89652,46.40303,Atelsko Sedlo Sattel ele=1317m SG_3,E_sattel
14.91708,47.10736,Gaberl(Stubalpe)B77 ele=1551m SG_2-3 20_p,E_sattel
14.93004,48.03482,Hochkogelberg-Graswinkel ele=621m SG_2,E_sattel
14.94444,47.52722,Präbichl B115 ele=1232m SG_1-2 15_p,E_sattel
14.97185,47.97218,YbbsitzerHöhe-Schadneramt ele=631m SG_1-2,E_sattel
14.97694,46.96361,Packsattel B70 ele=1169m SG_2 10_p,E_sattel
15.07528,46.68361,Soboth B69 ele=1349m SG_1-2 15_p,E_sattel
15.00647,46.92993,Hebalm-Hebalpe ele=1394m SG_2-3,E_sattel
15.04517,47.50891,Hiaslegg ele=1154m SG_3,E_sattel
15.10143,47.97988,Kraxenberg ele=805m SG_2,E_sattel
15.13796,47.76388,Bärenrisssattel ele=1069m SG_2-3,E_sattel
15.20697,46.64556,Radlpass B76 ele=670m SG_2-3 15_p,E_sattel
15.21100,46.50288,Pungart Vysokosedlo ele=1371m SG_4,E_sattel
15.30447,47.89373,Schüsseleck-Wastlam Wald ele=1151m SG_2,E_sattel
15.33348,47.52992,Pogusch Sattel ele=1059m SG_2-3,E_sattel
15.39601,48.04981,Hohenbrand-Luftberg ele=628m SG_2,E_sattel
15.40848,48.06419,Wetterlücke-Umbach ele=549m SG_2,E_sattel
15.41527,47.26866,Rechberg Sattel ele=929m SG_2,E_sattel
15.42222,47.57719,Pretalsattel ele=1069m SG_2,E_sattel
15.42705,47.93884,Gscheid Sattel ele=841m SG_1-2,E_sattel
15.47583,47.82722,Gscheid pass B21 ele=982m SG_1-2 13_p,E_sattel
15.44815,47.42179,Eibeggsattel ele=1001m SG_3,E_sattel
15.48504,47.20429,Schöcklkreuz Sattel ele=1125m SG_2-3,E_sattel
